old_cityID,X,Y,country,state,city
9436,-80.39354433,33.92091902,United States,South Carolina,Oswego
9437,-78.00512303,35.37989222,United States,North Carolina,Goldsboro
9438,-77.36557381,35.5920502,United States,North Carolina,Greenville
9439,-77.8354563,35.96302718,United States,North Carolina,WESLEYAN COL
9481,-94.50493536,37.10234706,United States,Missouri,Joplin
9495,27.87845082,-26.68152297,South Africa,Gauteng,Vereeniging
9541,74.58642372,42.87192782,Kyrgyzstan,Bishkek City,Bishkek
9604,-95.68514332,39.0368345,United States,Kansas,Topeka
9608,-79.81567936,34.21842397,United States,South Carolina,Florence
9635,-96.67520796,40.80923502,United States,Nebraska,Lincoln
9731,-78.89963606,33.75985809,United States,South Carolina,Myrtle Beach
9736,-90.08230631,29.95288352,United States,Louisiana,New Orleans
9747,-78.97270775,35.058625,United States,North Carolina,Fayetteville
9791,35.97825269,31.95784553,Jordan,Amman Governorate,Amman
9801,-97.29723615,37.67072253,United States,Kansas,Wichita
9810,-81.07542499,34.00886552,United States,South Carolina,Columbia
9815,-82.20160947,34.88435792,United States,South Carolina,Greer
